,country,continent,year,life_expectancy,population,gdp_per_capita
0,Japan,Asia,2007-01-01,82.603,127467972,31656.06806
1,"Hong Kong, China",Asia,2007-01-01,82.208,6980412,39724.97867
2,Japan,Asia,2002-01-01,82,127065841,28604.5919
3,Iceland,Europe,2007-01-01,81.757,301931,36180.78919
4,Switzerland,Europe,2007-01-01,81.701,7554661,37506.41907
5,"Hong Kong, China",Asia,2002-01-01,81.495,6762476,30209.01516
6,Australia,Oceania,2007-01-01,81.235,20434176,34435.36744
7,Spain,Europe,2007-01-01,80.941,40448191,28821.0637
8,Sweden,Europe,2007-01-01,80.884,9031088,33859.74835
9,Israel,Asia,2007-01-01,80.745,6426679,25523.2771
10,Japan,Asia,1997-01-01,80.69,125956499,28816.58499
11,France,Europe,2007-01-01,80.657,61083916,30470.0167
12,Canada,Americas,2007-01-01,80.653,33390141,36319.23501
13,Switzerland,Europe,2002-01-01,80.62,7361757,34480.95771
14,Italy,Europe,2007-01-01,80.546,58147733,28569.7197
15,Iceland,Europe,2002-01-01,80.5,288030,31163.20196
16,Australia,Oceania,2002-01-01,80.37,19546792,30687.75473
17,Italy,Europe,2002-01-01,80.24,57926999,27968.09817
18,New Zealand,Oceania,2007-01-01,80.204,4115771,25185.00911
19,Norway,Europe,2007-01-01,80.196,4627926,49357.19017
20,Sweden,Europe,2002-01-01,80.04,8954175,29341.63093
21,"Hong Kong, China",Asia,1997-01-01,80,6495918,28377.63219
22,Singapore,Asia,2007-01-01,79.972,4553009,47143.17964
23,Austria,Europe,2007-01-01,79.829,8199783,36126.4927
24,Spain,Europe,2002-01-01,79.78,40152517,24835.47166
25,Canada,Americas,2002-01-01,79.77,31902268,33328.96507
26,Netherlands,Europe,2007-01-01,79.762,16570613,36797.93332
27,Israel,Asia,2002-01-01,79.696,6029529,21905.59514
28,France,Europe,2002-01-01,79.59,59925035,28926.03234
29,Greece,Europe,2007-01-01,79.483,10706290,27538.41188
30,Belgium,Europe,2007-01-01,79.441,10392226,33692.60508
31,United Kingdom,Europe,2007-01-01,79.425,60776238,33203.26128
32,Germany,Europe,2007-01-01,79.406,82400996,32170.37442
33,Sweden,Europe,1997-01-01,79.39,8897619,25266.59499
34,Switzerland,Europe,1997-01-01,79.37,7193761,32135.32301
35,Japan,Asia,1992-01-01,79.36,124329269,26824.89511
36,Finland,Europe,2007-01-01,79.313,5238460,33207.0844
37,New Zealand,Oceania,2002-01-01,79.11,3908037,23189.80135
38,Norway,Europe,2002-01-01,79.05,4535591,44683.97525
39,Austria,Europe,2002-01-01,78.98,8148312,32417.60769
40,Iceland,Europe,1997-01-01,78.95,271192,28061.09966
41,Ireland,Europe,2007-01-01,78.885,4109086,40675.99635
42,Australia,Oceania,1997-01-01,78.83,18565243,26997.93657
43,Italy,Europe,1997-01-01,78.82,57479469,24675.02446
44,Costa Rica,Americas,2007-01-01,78.782,4133884,9645.06142
45,Iceland,Europe,1992-01-01,78.77,259012,25144.39201
46,Singapore,Asia,2002-01-01,78.77,4197776,36023.1054
47,Spain,Europe,1997-01-01,78.77,39855442,20445.29896
48,Puerto Rico,Americas,2007-01-01,78.746,3942491,19328.70901
49,Germany,Europe,2002-01-01,78.67,82350671,30035.80198
50,Japan,Asia,1987-01-01,78.67,122091325,22375.94189
51,France,Europe,1997-01-01,78.64,58623428,25889.78487
52,"Korea, Rep.",Asia,2007-01-01,78.623,49044790,23348.13973
53,Canada,Americas,1997-01-01,78.61,30305843,28954.92589
54,Chile,Americas,2007-01-01,78.553,16284741,13171.63885
55,Netherlands,Europe,2002-01-01,78.53,16122830,33724.75778
56,United Kingdom,Europe,2002-01-01,78.471,59912431,29478.99919
57,Taiwan,Asia,2007-01-01,78.4,23174294,28718.27684
58,Finland,Europe,2002-01-01,78.37,5193039,28204.59057
59,Denmark,Europe,2007-01-01,78.332,5468120,35278.41874
60,Belgium,Europe,2002-01-01,78.32,10311970,30485.88375
61,Norway,Europe,1997-01-01,78.32,4405672,41283.16433
62,Cuba,Americas,2007-01-01,78.273,11416987,8948.102923
63,Israel,Asia,1997-01-01,78.269,5531387,20896.60924
64,Greece,Europe,2002-01-01,78.256,10603863,22514.2548
65,United States,Americas,2007-01-01,78.242,301139947,42951.65309
66,Sweden,Europe,1992-01-01,78.16,8718867,23880.01683
67,Costa Rica,Americas,2002-01-01,78.123,3834934,7723.447195
68,Portugal,Europe,2007-01-01,78.098,10642836,20509.64777
69,Netherlands,Europe,1997-01-01,78.03,15604464,30246.13063
70,Switzerland,Europe,1992-01-01,78.03,6995447,31871.5303
71,Canada,Americas,1992-01-01,77.95,28523502,26342.88426
72,Slovenia,Europe,2007-01-01,77.926,2009245,25768.25759
73,Greece,Europe,1997-01-01,77.869,10502372,18747.69814
74,Chile,Americas,2002-01-01,77.86,15497046,10778.78385
75,Ireland,Europe,2002-01-01,77.783,3879155,34077.04939
76,Puerto Rico,Americas,2002-01-01,77.778,3859606,18855.60618
77,"Hong Kong, China",Asia,1992-01-01,77.601,5829696,24757.60301
78,Kuwait,Asia,2007-01-01,77.588,2505559,47306.98978
79,Spain,Europe,1992-01-01,77.57,39549438,18603.06452
80,Australia,Oceania,1992-01-01,77.56,17481977,23424.76683
81,New Zealand,Oceania,1997-01-01,77.55,3676187,21050.41377
82,Belgium,Europe,1997-01-01,77.53,10199787,27561.19663
83,Austria,Europe,1997-01-01,77.51,8069876,29095.92066
84,France,Europe,1992-01-01,77.46,57374179,24703.79615
85,Italy,Europe,1992-01-01,77.44,56840847,22013.64486
86,Netherlands,Europe,1992-01-01,77.42,15174244,26790.94961
87,Switzerland,Europe,1987-01-01,77.41,6649942,30281.70459
88,Germany,Europe,1997-01-01,77.34,82011073,27788.88416
89,Norway,Europe,1992-01-01,77.32,4286357,33965.66115
90,United States,Americas,2002-01-01,77.31,287675526,39097.09955
91,Portugal,Europe,2002-01-01,77.29,10433867,19970.90787
92,Costa Rica,Americas,1997-01-01,77.26,3518107,6677.045314
93,Iceland,Europe,1987-01-01,77.23,244676,26923.20628
94,United Kingdom,Europe,1997-01-01,77.218,58808266,26074.53136
95,Sweden,Europe,1987-01-01,77.19,8421403,23586.92927
96,Denmark,Europe,2002-01-01,77.18,5374693,32166.50006
97,Singapore,Asia,1997-01-01,77.158,3802309,33519.4766
98,Cuba,Americas,2002-01-01,77.158,11226999,6340.646683
99,Finland,Europe,1997-01-01,77.13,5134406,23723.9502
100,Japan,Asia,1982-01-01,77.11,118454974,19384.10571
101,"Korea, Rep.",Asia,2002-01-01,77.045,47969150,19233.98818
102,Greece,Europe,1992-01-01,77.03,10325429,17541.49634
103,Iceland,Europe,1982-01-01,76.99,233997,23269.6075
104,Taiwan,Asia,2002-01-01,76.99,22454239,23235.42329
105,Israel,Asia,1992-01-01,76.93,4936550,18051.52254
106,Kuwait,Asia,2002-01-01,76.904,2111561,35110.10566
107,Spain,Europe,1987-01-01,76.9,38880702,15764.98313
108,Canada,Americas,1987-01-01,76.86,26549700,26626.51503
109,Netherlands,Europe,1987-01-01,76.83,14665278,23651.32361
110,United States,Americas,1997-01-01,76.81,272911760,35767.43303
111,Greece,Europe,1987-01-01,76.67,9974490,16120.52839
112,Slovenia,Europe,2002-01-01,76.66,2011497,20660.01936
113,Czech Republic,Europe,2007-01-01,76.486,10228744,22833.30851
114,Belgium,Europe,1992-01-01,76.46,10045622,25575.57069
115,Reunion,Africa,2007-01-01,76.442,798094,7670.122558
116,Albania,Europe,2007-01-01,76.423,3600523,5937.029526
117,United Kingdom,Europe,1992-01-01,76.42,57866349,22705.09254
118,Sweden,Europe,1982-01-01,76.42,8325260,20667.38125
119,Italy,Europe,1987-01-01,76.42,56729703,19207.23482
120,Uruguay,Americas,2007-01-01,76.384,3447496,10611.46299
121,France,Europe,1987-01-01,76.34,55630100,22066.44214
122,New Zealand,Oceania,1992-01-01,76.33,3437674,18363.32494
123,Australia,Oceania,1987-01-01,76.32,16257249,21888.88903
124,Spain,Europe,1982-01-01,76.3,37983310,13926.16997
125,Switzerland,Europe,1982-01-01,76.21,6468126,28397.71512
126,"Hong Kong, China",Asia,1987-01-01,76.2,5584510,20038.47269
127,Mexico,Americas,2007-01-01,76.195,108700891,11977.57496
128,Kuwait,Asia,1997-01-01,76.156,1765345,40300.61996
129,Cuba,Americas,1997-01-01,76.151,10983007,5431.990415
130,Ireland,Europe,1997-01-01,76.122,3667233,24521.94713
131,Denmark,Europe,1997-01-01,76.11,5283663,29804.34567
132,Iceland,Europe,1977-01-01,76.11,221823,19654.96247
133,United States,Americas,1992-01-01,76.09,256894189,32003.93224
134,Germany,Europe,1992-01-01,76.07,80597764,26505.30317
135,Netherlands,Europe,1982-01-01,76.05,14310401,21399.46046
136,Austria,Europe,1992-01-01,76.04,7914969,27042.01868
137,Portugal,Europe,1997-01-01,75.97,10156415,17641.03156
138,Norway,Europe,1982-01-01,75.97,4114787,26298.63531
139,Norway,Europe,1987-01-01,75.89,4186147,31540.9748
140,Chile,Americas,1997-01-01,75.816,14599929,10118.05318
141,Singapore,Asia,1992-01-01,75.788,3235865,24769.8912
142,Canada,Americas,1982-01-01,75.76,25201900,22898.79214
143,Croatia,Europe,2007-01-01,75.748,4493312,14619.22272
144,Reunion,Africa,2002-01-01,75.744,743981,6316.1652
145,Costa Rica,Americas,1992-01-01,75.713,3173216,6160.416317
146,Finland,Europe,1992-01-01,75.7,5041039,20647.16499
147,Albania,Europe,2002-01-01,75.651,3508512,4604.211737
148,Oman,Asia,2007-01-01,75.64,3204897,22316.19287
149,Bahrain,Asia,2007-01-01,75.635,708573,29796.04834
150,Israel,Asia,1987-01-01,75.6,4203148,17122.47986
151,Poland,Europe,2007-01-01,75.563,38518241,15389.92468
152,Panama,Americas,2007-01-01,75.537,3242173,9809.185636
153,Czech Republic,Europe,2002-01-01,75.51,10256295,17596.21022
154,Ireland,Europe,1992-01-01,75.467,3557761,17558.81555
155,"Hong Kong, China",Asia,1982-01-01,75.45,5264500,14560.53051
156,Montenegro,Europe,1997-01-01,75.445,692651,6465.613349
157,Sweden,Europe,1977-01-01,75.44,8251648,18855.72521
158,Montenegro,Europe,1992-01-01,75.435,621621,7003.339037
159,Switzerland,Europe,1977-01-01,75.39,6316424,26982.29052
160,Japan,Asia,1977-01-01,75.38,113872473,16610.37701
161,Norway,Europe,1977-01-01,75.37,4043205,23311.34939
162,Belgium,Europe,1987-01-01,75.35,9870200,22525.56308
163,Denmark,Europe,1992-01-01,75.33,5171393,26406.73985
164,Argentina,Americas,2007-01-01,75.32,40301927,12779.37964
165,Uruguay,Americas,2002-01-01,75.307,3363085,7727.002004
166,Taiwan,Asia,1997-01-01,75.25,21628605,20206.82098
167,Greece,Europe,1982-01-01,75.24,9786480,15268.42089
168,Netherlands,Europe,1977-01-01,75.24,13852989,21209.0592
169,Kuwait,Asia,1992-01-01,75.19,1418095,34932.91959
170,Slovenia,Europe,1997-01-01,75.13,2011612,17161.10735
171,United States,Americas,1987-01-01,75.02,242803533,29884.35041
172,United Kingdom,Europe,1987-01-01,75.007,56981620,21664.78767
173,Ecuador,Americas,2007-01-01,74.994,13755680,6873.262326
174,Italy,Europe,1982-01-01,74.98,56535636,16537.4835
175,Austria,Europe,1987-01-01,74.94,7578903,23687.82607
176,Puerto Rico,Americas,1997-01-01,74.917,3759430,16999.4333
177,Mexico,Americas,2002-01-01,74.902,102479927,10742.44053
178,France,Europe,1982-01-01,74.89,54433565,20293.89746
179,Croatia,Europe,2002-01-01,74.876,4481020,11628.38895
180,Montenegro,Europe,1987-01-01,74.865,569473,11732.51017
181,Portugal,Europe,1992-01-01,74.86,9927680,16207.26663
182,Bosnia and Herzegovina,Europe,2007-01-01,74.852,4552198,7446.298803
183,Germany,Europe,1987-01-01,74.847,77718298,24639.18566
184,Finland,Europe,1987-01-01,74.83,4931729,21141.01223
185,Denmark,Europe,1987-01-01,74.8,5127024,25116.17581
186,Bahrain,Asia,2002-01-01,74.795,656397,23403.55927
187,Reunion,Africa,1997-01-01,74.772,684810,6071.941411
188,Costa Rica,Americas,1987-01-01,74.752,2799811,5629.915318
189,Australia,Oceania,1982-01-01,74.74,15184200,19477.00928
190,Sweden,Europe,1972-01-01,74.72,8122293,17832.02464
191,Panama,Americas,2002-01-01,74.712,2990875,7356.031934
192,Denmark,Europe,1977-01-01,74.69,5088419,20422.9015
193,Poland,Europe,2002-01-01,74.67,38625976,12002.23908
194,Slovak Republic,Europe,2007-01-01,74.663,5447502,18678.31435
195,United States,Americas,1982-01-01,74.65,232187835,25009.55914
196,"Korea, Rep.",Asia,1997-01-01,74.647,46173816,15993.52796
197,Puerto Rico,Americas,1987-01-01,74.63,3444468,12281.34191
198,Denmark,Europe,1982-01-01,74.63,5117810,21688.04048
199,Finland,Europe,1982-01-01,74.55,4826933,18533.15761
200,Montenegro,Europe,2007-01-01,74.543,684736,9253.896111
201,Iceland,Europe,1972-01-01,74.46,209275,15798.06362
202,Israel,Asia,1982-01-01,74.45,3858421,15367.0292
203,Cuba,Americas,1992-01-01,74.414,10723260,5592.843963
204,Spain,Europe,1977-01-01,74.39,36439000,13236.92117
205,Ireland,Europe,1987-01-01,74.36,3539900,13872.86652
206,Norway,Europe,1972-01-01,74.34,3933004,18965.05551
207,Argentina,Americas,2002-01-01,74.34,38331121,8797.640716
208,New Zealand,Oceania,1987-01-01,74.32,3317166,19007.19129
209,Taiwan,Asia,1992-01-01,74.26,20686918,15215.6579
210,Vietnam,Asia,2007-01-01,74.249,85262356,2441.576404
211,Malaysia,Asia,2007-01-01,74.241,24821286,12451.6558
212,Uruguay,Americas,1997-01-01,74.223,3262838,9230.240708
213,Canada,Americas,1977-01-01,74.21,23796400,22090.88306
214,Oman,Asia,2002-01-01,74.193,2713462,19774.83687
215,Kuwait,Asia,1987-01-01,74.174,1891487,28118.42998
216,Cuba,Americas,1987-01-01,74.174,10239839,7532.924763
217,Ecuador,Americas,2002-01-01,74.173,12921234,5773.044512
218,Sweden,Europe,1967-01-01,74.16,7867931,15258.29697
219,Syria,Asia,2007-01-01,74.143,19314747,4184.548089
220,Chile,Americas,1992-01-01,74.126,13572994,7596.125964
221,Montenegro,Europe,1982-01-01,74.101,562548,11222.58762
222,Bosnia and Herzegovina,Europe,2002-01-01,74.09,4165416,6018.975239
223,Norway,Europe,1967-01-01,74.08,3786019,16361.87647
224,Portugal,Europe,1987-01-01,74.06,9915289,13039.30876
225,United Kingdom,Europe,1982-01-01,74.04,56339704,18232.42452
226,Czech Republic,Europe,1997-01-01,74.01,10300707,16048.51424
227,Serbia,Europe,2007-01-01,74.002,10150265,9786.534714
228,Montenegro,Europe,2002-01-01,73.981,720230,6557.194282
229,Libya,Africa,2007-01-01,73.952,6036914,12057.49928
230,Belgium,Europe,1982-01-01,73.93,9856303,20979.84589
231,Bahrain,Asia,1997-01-01,73.925,598561,20292.01679
232,Tunisia,Africa,2007-01-01,73.923,10276158,7092.923025
233,Puerto Rico,Americas,1992-01-01,73.911,3585176,14641.58711
234,New Zealand,Oceania,1982-01-01,73.84,3210650,17632.4104
235,France,Europe,1977-01-01,73.83,53165019,18292.63514
236,Netherlands,Europe,1967-01-01,73.82,12596822,15363.25136
237,Slovak Republic,Europe,2002-01-01,73.8,5410052,13638.77837
238,Germany,Europe,1982-01-01,73.8,78335266,22031.53274
239,Switzerland,Europe,1972-01-01,73.78,6401400,27195.11304
240,Puerto Rico,Americas,1982-01-01,73.75,3279001,10330.98915
241,Netherlands,Europe,1972-01-01,73.75,13329874,18794.74567
242,Venezuela,Americas,2007-01-01,73.747,26084662,11415.80569
243,Panama,Americas,1997-01-01,73.738,2734531,7113.692252
244,Iceland,Europe,1967-01-01,73.73,198676,13319.89568
245,Cuba,Americas,1982-01-01,73.717,9789224,7316.918107
246,Croatia,Europe,1997-01-01,73.68,4444595,9875.604515
247,Greece,Europe,1977-01-01,73.68,9308479,14195.52428
248,Iceland,Europe,1962-01-01,73.68,182053,10350.15906
249,Mexico,Americas,1997-01-01,73.67,95895146,9767.29753
250,Slovenia,Europe,1992-01-01,73.64,1999210,14214.71681
251,Reunion,Africa,1992-01-01,73.615,622191,6101.255823
252,"Hong Kong, China",Asia,1977-01-01,73.6,4583700,11186.14125
253,Singapore,Asia,1987-01-01,73.56,2794552,18861.53081
254,Australia,Oceania,1977-01-01,73.49,14074100,18334.19751
255,Italy,Europe,1977-01-01,73.48,56059245,14255.98475
256,Iceland,Europe,1957-01-01,73.47,165110,9244.001412
257,Denmark,Europe,1972-01-01,73.47,4991596,18866.20721
258,Norway,Europe,1962-01-01,73.47,3638919,13450.40151
259,Costa Rica,Americas,1982-01-01,73.45,2424367,5262.734751
260,Puerto Rico,Americas,1977-01-01,73.44,3080828,9770.524921
261,Norway,Europe,1957-01-01,73.44,3491938,11653.97304
262,West Bank and Gaza,Asia,2007-01-01,73.422,4018332,3025.349798
263,Japan,Asia,1972-01-01,73.42,107188273,14778.78636
264,Taiwan,Asia,1987-01-01,73.4,19757799,11054.56175
265,United States,Americas,1977-01-01,73.38,220239000,24072.63213
266,Sweden,Europe,1962-01-01,73.37,7561588,12329.44192
267,Hungary,Europe,2007-01-01,73.338,9956108,18008.94444
268,Argentina,Americas,1997-01-01,73.275,36203463,10967.28195
269,Bosnia and Herzegovina,Europe,1997-01-01,73.244,3607000,4766.355904
270,Netherlands,Europe,1962-01-01,73.23,11805689,12790.84956
271,Serbia,Europe,2002-01-01,73.213,10111559,7236.075251
272,Austria,Europe,1982-01-01,73.18,7574613,21597.08362
273,Ireland,Europe,1982-01-01,73.1,3480000,12618.32141
274,Montenegro,Europe,1977-01-01,73.066,560073,9595.929905
275,Israel,Asia,1977-01-01,73.06,3495918,13306.61921
276,Spain,Europe,1972-01-01,73.06,34513161,10638.75131
277,Syria,Asia,2002-01-01,73.053,17155814,4090.925331
278,Malaysia,Asia,2002-01-01,73.044,22662365,10206.97794
279,Tunisia,Africa,2002-01-01,73.042,9770575,5722.895655
280,Vietnam,Asia,2002-01-01,73.017,80908147,1764.456677
281,Bulgaria,Europe,2007-01-01,73.005,7322858,10680.79282
282,Netherlands,Europe,1957-01-01,72.99,11026383,11276.19344
283,China,Asia,2007-01-01,72.961,1318683096,4959.114854
284,Denmark,Europe,1967-01-01,72.96,4838800,15937.21123
285,Albania,Europe,1997-01-01,72.95,3428038,3193.054604
286,Nicaragua,Americas,2007-01-01,72.899,5675356,2749.320965
287,Colombia,Americas,2007-01-01,72.889,44227550,7006.580419
288,Canada,Americas,1972-01-01,72.88,22284500,18970.57086
289,Mauritius,Africa,2007-01-01,72.801,1250882,10956.99112
290,Belgium,Europe,1977-01-01,72.8,9821800,19117.97448
291,Saudi Arabia,Asia,2007-01-01,72.777,27601038,21654.83194
292,Portugal,Europe,1982-01-01,72.77,9859650,11753.84291
293,Switzerland,Europe,1967-01-01,72.77,6063000,22966.14432
294,Venezuela,Americas,2002-01-01,72.766,24287670,8605.047831
295,United Kingdom,Europe,1977-01-01,72.76,56179000,17428.74846
296,Uruguay,Americas,1992-01-01,72.752,3149262,8137.004775
297,Poland,Europe,1997-01-01,72.75,38654957,10159.58368
298,Libya,Africa,2002-01-01,72.737,5368585,9534.677467
299,Slovak Republic,Europe,1997-01-01,72.71,5383010,12126.23065
300,Norway,Europe,1952-01-01,72.67,3327728,10095.42172
301,Cuba,Americas,1977-01-01,72.649,9537988,6380.494966
302,Bahrain,Asia,1992-01-01,72.601,529491,19035.57917
303,Hungary,Europe,2002-01-01,72.59,10083313,14843.93556
304,Jamaica,Americas,2007-01-01,72.567,2780132,7320.880262
305,Jordan,Asia,2007-01-01,72.535,6053193,4519.461171
306,Croatia,Europe,1992-01-01,72.527,4494013,8447.794873
307,Finland,Europe,1977-01-01,72.52,4738902,15605.42283
308,Germany,Europe,1977-01-01,72.5,78160773,20512.92123
309,Oman,Asia,1997-01-01,72.499,2283635,19702.05581
310,Chile,Americas,1987-01-01,72.492,12463354,5547.063754
311,Iceland,Europe,1952-01-01,72.49,147962,7267.688428
312,Sweden,Europe,1957-01-01,72.49,7363802,9911.878226
313,Romania,Europe,2007-01-01,72.476,22276056,10808.47561
314,Panama,Americas,1992-01-01,72.462,2484997,6618.74305
315,Czech Republic,Europe,1992-01-01,72.4,10315702,14297.02122
316,Sri Lanka,Asia,2007-01-01,72.396,20378239,3970.095407
317,Brazil,Americas,2007-01-01,72.39,190010647,9065.800825
318,France,Europe,1972-01-01,72.38,51732000,16107.19171
319,West Bank and Gaza,Asia,2002-01-01,72.37,3389578,4515.487575
320,Denmark,Europe,1962-01-01,72.35,4646899,13583.31351
321,Greece,Europe,1972-01-01,72.34,8888628,12724.82957
322,Ecuador,Americas,1997-01-01,72.312,11911819,7429.455877
323,Algeria,Africa,2007-01-01,72.301,33333216,6223.367465
324,Jamaica,Americas,1997-01-01,72.262,2531311,7121.924704
325,Slovenia,Europe,1987-01-01,72.25,1945870,18678.53492
326,"Korea, Rep.",Asia,1992-01-01,72.244,43805450,12104.27872
327,Dominican Republic,Americas,2007-01-01,72.235,9319622,6025.374752
328,Serbia,Europe,1997-01-01,72.232,10336594,7914.320304
329,New Zealand,Oceania,1977-01-01,72.22,3164900,16233.7177
330,Italy,Europe,1972-01-01,72.19,54365564,12269.27378
331,Bosnia and Herzegovina,Europe,1992-01-01,72.178,4256013,2546.781445
332,Austria,Europe,1977-01-01,72.17,7568430,19749.4223
333,Puerto Rico,Americas,1972-01-01,72.16,2847132,9123.041742
334,Taiwan,Asia,1982-01-01,72.16,18501390,7426.354774
335,Venezuela,Americas,1997-01-01,72.146,22374398,10165.49518
336,Bulgaria,Europe,2002-01-01,72.14,7661799,7696.777725
337,Netherlands,Europe,1952-01-01,72.13,10381988,8941.571858
338,Canada,Americas,1967-01-01,72.13,20819767,16076.58803
339,Jamaica,Americas,2002-01-01,72.047,2664659,6994.774861
340,Ireland,Europe,1977-01-01,72.03,3271900,11150.98113
341,China,Asia,2002-01-01,72.028,1280400000,3119.280896
342,United Kingdom,Europe,1972-01-01,72.01,56079000,15895.11641
343,"Hong Kong, China",Asia,1972-01-01,72,4115700,8315.928145
